variant,phase,type,key,value
dem-sierra-S2-trace,all,seconds,task_wall_sum_height_hint_shadow,50.496153700000015
dem-sierra-S2-trace,all,seconds,view_order,0.03325319999999998
dem-sierra-S2-trace,all,seconds,view_projection,0.46651159999999986
dem-sierra-S2-trace,all,seconds,view_refresh,0.6664055999999998
dem-sierra-S2-trace,all,seconds,view_scores,0.16136620000000004
dem-sierra-S2-trace,all,maxima,height_hint_entries,2048.0
dem-sierra-S2-trace,all,maxima,rationalBits,524.0
dem-sierra-S2-trace,moving,counts,certified,1492
dem-sierra-S2-trace,moving,counts,flip_flip_nonconvex_or_existing_diagonal,398
dem-sierra-S2-trace,moving,counts,flip_flip_not_interior,176
dem-sierra-S2-trace,moving,counts,height_hint_hits,7894
dem-sierra-S2-trace,moving,counts,height_hint_queries,11228
dem-sierra-S2-trace,moving,counts,height_hint_remember,9736
dem-sierra-S2-trace,moving,counts,height_hint_shadow_pointwise_height_damage,7838
dem-sierra-S2-trace,moving,counts,pointwise_height_damage,9736
dem-sierra-S2-trace,moving,counts,pointwise_receiver_certified,1495
dem-sierra-S2-trace,moving,counts,quality_clip_bounds_builds,1235382
dem-sierra-S2-trace,moving,counts,quality_clip_exact_builds,70306
dem-sierra-S2-trace,moving,counts,quality_contexts,2283289
dem-sierra-S2-trace,moving,counts,quality_cover_exact_requests,842002
dem-sierra-S2-trace,moving,counts,quality_early_height_rejects,1898
dem-sierra-S2-trace,moving,counts,quality_evidence_bytes,174394616
dem-sierra-S2-trace,moving,counts,quality_exact_samples,72106
dem-sierra-S2-trace,moving,counts,quality_face_bounds_builds,63731
dem-sierra-S2-trace,moving,counts,quality_face_bounds_heights,2470764
dem-sierra-S2-trace,moving,counts,quality_face_bounds_sides,25102243
dem-sierra-S2-trace,moving,counts,quality_face_exact_builds,31748
dem-sierra-S2-trace,moving,counts,quality_face_exact_heights,144212
dem-sierra-S2-trace,moving,counts,quality_face_exact_sides,842002
dem-sierra-S2-trace,moving,counts,quality_face_records,97844
dem-sierra-S2-trace,moving,counts,quality_filter_samples,1227534
dem-sierra-S2-trace,moving,counts,quality_full_domain_loops,4891
dem-sierra-S2-trace,moving,counts,quality_hint_checks,7848
dem-sierra-S2-trace,moving,counts,quality_hint_outside,46
dem-sierra-S2-trace,moving,counts,quality_hint_rejected,7838
dem-sierra-S2-trace,moving,counts,quality_reference_bounds_builds,2283289
dem-sierra-S2-trace,moving,counts,quality_reference_exact_builds,438788
dem-sierra-S2-trace,moving,counts,quality_samples,1235382
dem-sierra-S2-trace,moving,counts,quality_screen_evaluations,2543216
dem-sierra-S2-trace,moving,counts,quality_visibility_exact_requests,0
dem-sierra-S2-trace,moving,counts,shape_infeasible,12550
dem-sierra-S2-trace,moving,counts,source_height_prepared,11228
dem-sierra-S2-trace,moving,counts,flip_certified,3
dem-sierra-S2-trace,moving,counts,flip_quality_infeasible,27
dem-sierra-S2-trace,moving,counts,flip_pointwise_height_damage,3
dem-sierra-S2-trace,moving,counts,height_hint_evictions,134
dem-sierra-S2-trace,moving,counts,flip_shape_infeasible,2
dem-sierra-S2-trace,moving,seconds,derived_publish,0.007973599999999999
dem-sierra-S2-trace,moving,seconds,donor_order,0.0004471999999999999
dem-sierra-S2-trace,moving,seconds,face_fill,0.0008923000000000002
dem-sierra-S2-trace,moving,seconds,height_hint_merge,0.002266
dem-sierra-S2-trace,moving,seconds,mesh_fill,0.0011493
dem-sierra-S2-trace,moving,seconds,mesh_prepare,0.0018505000000000001
dem-sierra-S2-trace,moving,seconds,next_order,0.0305438
dem-sierra-S2-trace,moving,seconds,pointwise_batch,0.100155
dem-sierra-S2-trace,moving,seconds,prepare,0.029403699999999994
dem-sierra-S2-trace,moving,seconds,publish,0.004412299999999999
dem-sierra-S2-trace,moving,seconds,receiver_stage,3.8541993
dem-sierra-S2-trace,moving,seconds,reservation,0.015011200000000002
dem-sierra-S2-trace,moving,seconds,sample_repair,0.6457522999999998
dem-sierra-S2-trace,moving,seconds,task_wall_sum_flip_recovery,0.0319807
dem-sierra-S2-trace,moving,seconds,task_wall_sum_height_hint_check,0.06476679999999999
dem-sierra-S2-trace,moving,seconds,task_wall_sum_height_hint_query,0.008524499999999999
dem-sierra-S2-trace,moving,seconds,task_wall_sum_height_hint_shadow,12.787958899999998
dem-sierra-S2-trace,moving,seconds,task_wall_sum_pointwise_quality,27.039336599999995
dem-sierra-S2-trace,moving,seconds,task_wall_sum_proposal,0.6254732
dem-sierra-S2-trace,moving,seconds,task_wall_sum_receiver_certification,0.47875140000000005
dem-sierra-S2-trace,moving,seconds,view_order,0.013724
dem-sierra-S2-trace,moving,seconds,view_projection,0.2089389
dem-sierra-S2-trace,moving,seconds,view_refresh,0.2972683000000001
dem-sierra-S2-trace,moving,seconds,view_scores,0.0714595
dem-sierra-S2-trace,moving,maxima,height_hint_entries,2048.0
dem-sierra-S2-trace,moving,maxima,rationalBits,524.0
dem-sierra-S2-trace,return,counts,certified,497
dem-sierra-S2-trace,return,counts,flip_flip_nonconvex_or_existing_diagonal,486
dem-sierra-S2-trace,return,counts,flip_flip_not_interior,227
dem-sierra-S2-trace,return,counts,flip_shape_infeasible,7
dem-sierra-S2-trace,return,counts,height_hint_evictions,1228
dem-sierra-S2-trace,return,counts,height_hint_hits,12008
dem-sierra-S2-trace,return,counts,height_hint_queries,13592
dem-sierra-S2-trace,return,counts,height_hint_remember,13088
dem-sierra-S2-trace,return,counts,height_hint_shadow_pointwise_height_damage,11995
dem-sierra-S2-trace,return,counts,pointwise_height_damage,13088
dem-sierra-S2-trace,return,counts,pointwise_progress_unknown,7
dem-sierra-S2-trace,return,counts,pointwise_receiver_certified,500
dem-sierra-S2-trace,return,counts,quality_clip_bounds_builds,364344
dem-sierra-S2-trace,return,counts,quality_clip_exact_builds,21143
dem-sierra-S2-trace,return,counts,quality_contexts,646179
dem-sierra-S2-trace,return,counts,quality_cover_exact_requests,285214
dem-sierra-S2-trace,return,counts,quality_early_height_rejects,1093
dem-sierra-S2-trace,return,counts,quality_evidence_bytes,193826804
dem-sierra-S2-trace,return,counts,quality_exact_samples,23725
dem-sierra-S2-trace,return,counts,quality_face_bounds_builds,62024
dem-sierra-S2-trace,return,counts,quality_face_bounds_heights,728688
dem-sierra-S2-trace,return,counts,quality_face_bounds_sides,7273298
dem-sierra-S2-trace,return,counts,quality_face_exact_builds,16807
dem-sierra-S2-trace,return,counts,quality_face_exact_heights,47450
dem-sierra-S2-trace,return,counts,quality_face_exact_sides,285214
dem-sierra-S2-trace,return,counts,quality_face_records,116706
