configuration,case,run,terrain,algorithm,budget,area,capacity,frame,status,valid,N,Emax,RMS,Hmax,Q,missing,ambiguous,witness,meshHash,poseHash,sampleHash,qualityPath
6a0c74c5887b285e7660ec736dc40ff635574464f1d82044c9dd8d41c4c7dd70,dem-canyon-cbt-a8,visual-dem-canyon-cbt-a8,dem-canyon,cbt,,8,524288,48,invalid-quality,False,49165.0,,,,1574913,0,1,"[182840, 0.146484375, 0.1171875]",3109207776170296716,17793952616048786981,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-cbt-a8
6a0c74c5887b285e7660ec736dc40ff635574464f1d82044c9dd8d41c4c7dd70,dem-canyon-cbt-a8,visual-dem-canyon-cbt-a8,dem-canyon,cbt,,8,524288,80,invalid-quality,False,67261.0,,,,1574913,0,11,"[1467722, 0.12955729166666666, 0.9322916666666666]",16648000626324741318,3326756437934915451,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-cbt-a8
6a0c74c5887b285e7660ec736dc40ff635574464f1d82044c9dd8d41c4c7dd70,dem-canyon-cbt-a8,visual-dem-canyon-cbt-a8,dem-canyon,cbt,,8,524288,95,invalid-quality,False,67255.0,,,,1574913,0,11,"[1467722, 0.12955729166666666, 0.9322916666666666]",12978378456533168763,3326756437934915451,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-canyon-cbt-a8
7f8329291874c939c1f910e56ccbe298a880c927c1cd9b7eb8d78cccf09d95f5,dem-sierra-b50000-classic-t1,visual-dem-sierra-b50000-classic-t1,dem-sierra,classic,50000,,,2,ok,True,8845.0,1.1726921856954238,0.2538092346788995,0.4707915077518159,1574913,0,0,"[864998, 0.05859375, 0.55078125]",16103525946236971189,9615969980420470247,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-b50000-classic-t1
7f8329291874c939c1f910e56ccbe298a880c927c1cd9b7eb8d78cccf09d95f5,dem-sierra-b50000-classic-t1,visual-dem-sierra-b50000-classic-t1,dem-sierra,classic,50000,,,48,ok,True,12085.0,1.0416797893895509,0.18835355900767617,1.754269891755163,1574913,0,0,"[1561810, 0.73828125, 0.9921875]",9880494696098687654,2106862884007421062,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-b50000-classic-t1
7f8329291874c939c1f910e56ccbe298a880c927c1cd9b7eb8d78cccf09d95f5,dem-sierra-b50000-classic-t1,visual-dem-sierra-b50000-classic-t1,dem-sierra,classic,50000,,,80,ok,True,15919.0,1.08957745809527,0.17801768763924997,0.37772312545254305,1574913,0,0,"[1502006, 0.283203125, 0.955078125]",9142051977205542781,10556526114892932750,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-b50000-classic-t1
7f8329291874c939c1f910e56ccbe298a880c927c1cd9b7eb8d78cccf09d95f5,dem-sierra-b50000-classic-t1,visual-dem-sierra-b50000-classic-t1,dem-sierra,classic,50000,,,95,ok,True,15919.0,1.08957745809527,0.17801768763924997,0.37772312545254305,1574913,0,0,"[1502006, 0.283203125, 0.955078125]",9142051977205542781,10556526114892932750,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-b50000-classic-t1
55536e548f374fabbb0779cc5a58589f6aeb498d9c3c9a040c3ce4bebbbb6895,dem-sierra-b50000-dod-t8,visual-dem-sierra-b50000-dod-t8,dem-sierra,dod,50000,,,2,ok,True,8845.0,1.1726921856954238,0.2538092346788995,0.4707915077518159,1574913,0,0,"[864998, 0.05859375, 0.55078125]",7910944778119459221,9615969980420470247,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-b50000-dod-t8
55536e548f374fabbb0779cc5a58589f6aeb498d9c3c9a040c3ce4bebbbb6895,dem-sierra-b50000-dod-t8,visual-dem-sierra-b50000-dod-t8,dem-sierra,dod,50000,,,48,ok,True,12085.0,1.0416797893895509,0.18835355900767617,1.754269891755163,1574913,0,0,"[1561810, 0.73828125, 0.9921875]",13095104919855142654,2106862884007421062,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-b50000-dod-t8
55536e548f374fabbb0779cc5a58589f6aeb498d9c3c9a040c3ce4bebbbb6895,dem-sierra-b50000-dod-t8,visual-dem-sierra-b50000-dod-t8,dem-sierra,dod,50000,,,80,ok,True,15919.0,1.08957745809527,0.17801768763924997,0.37772312545254305,1574913,0,0,"[1502006, 0.283203125, 0.955078125]",5042857137947386889,10556526114892932750,2831584742635955469,/mnt/d/CPP-Projects/WorkloadAwareROAM/benchmark-output/experiment-infrastructure/fer-02/quality-dem-sierra-b50000-dod-t8
