case,arm,frame,warmup,hash,faces,raw,examined,receivers,need,feasible,exchanges,free,pairs,conflicts,cpuMs,viewMs,receiverMs,donorMs,reservationMs,sampleRepairMs
dem-sierra-b50000-transactional-t8,A,37,0,14990451370916674464,10952,7252,160,18,0,0,0,10,0,8,33.065700531005859,9.5285000000000011,15.1661,0,0.15809999999999999,6.9961000000000002
dem-sierra-b50000-transactional-t8,A,38,0,8863050883400846418,10978,6883,160,20,0,0,0,13,0,7,36.589000701904297,12.374700000000001,12.4838,0,0.16239999999999999,10.231499999999999
dem-sierra-b50000-transactional-t8,A,39,0,6089523061562192063,11002,6517,160,16,0,0,0,12,0,4,36.544700622558594,11.7272,13.370099999999999,0,0.30299999999999999,9.4024000000000001
dem-sierra-b50000-transactional-t8,A,40,0,17660868641746182640,11018,6179,160,11,0,0,0,8,0,3,32.999698638916016,10.5364,14.2142,0,0.18450000000000003,6.8173000000000004
dem-sierra-b50000-transactional-t8,A,41,0,1011200078387243637,11038,5799,160,18,0,0,0,10,0,8,26.028400421142578,10.149699999999999,9.1132000000000009,0,0.15060000000000001,5.7181000000000006
dem-sierra-b50000-transactional-t8,A,42,0,9201132271622419269,11048,5416,160,7,0,0,0,5,0,2,22.693099975585938,10.3657,8.6184999999999992,0,0.068499999999999991,3.1118999999999999
dem-sierra-b50000-transactional-t8,A,43,0,686861229683183137,11066,5028,160,12,0,0,0,9,0,3,31.073600769042969,10.866199999999999,12.590199999999999,0,0.12559999999999999,6.6352000000000002
dem-sierra-b50000-transactional-t8,A,44,0,15394570603691212422,11072,4581,160,4,0,0,0,3,0,1,24.728500366210938,10.559600000000001,11.1052,0,0.042599999999999999,2.4987999999999997
dem-sierra-b50000-transactional-t8,A,45,0,17826734797945150100,11084,4108,160,10,0,0,0,6,0,4,30.371400833129883,10.9499,12.850099999999999,0,0.084900000000000003,5.7555999999999994
dem-sierra-b50000-transactional-t8,A,46,0,706316834988357980,11100,3659,160,11,0,0,0,8,0,3,27.65730094909668,10.693299999999999,9.8762000000000008,0,0.1497,6.0899000000000001
dem-sierra-b50000-transactional-t8,A,47,0,13163823169337073819,11118,3267,160,11,0,0,0,9,0,2,30.835500717163086,10.0182,13.6868,0,0.1986,6.032
dem-sierra-b50000-transactional-t8,A,48,0,4915709072609644529,11128,2848,160,7,0,0,0,5,0,2,25.171899795532227,12.6404,8.245000000000001,0,0.1124,3.4908999999999999
dem-sierra-b50000-transactional-t8,A,49,0,6081172414831612937,11140,2487,160,8,0,0,0,6,0,2,35.768798828125,16.2864,13.740300000000001,0,0.1249,4.8109999999999999
dem-sierra-b50000-transactional-t8,A,50,0,16676236523462167286,11154,2149,160,8,0,0,0,7,0,1,24.753799438476562,10.3363,8.8949999999999996,0,0.1004,4.6307999999999998
dem-sierra-b50000-transactional-t8,A,51,0,8706419432804097171,11176,1832,160,17,0,0,0,11,0,6,40.397701263427734,15.427299999999999,13.513499999999999,0,0.18390000000000001,10.004300000000001
dem-sierra-b50000-transactional-t8,A,52,0,4087151478043420480,11192,1557,160,14,0,0,0,8,0,6,36.25360107421875,12.7927,14.440700000000001,0,0.18179999999999999,7.8194000000000008
dem-sierra-b50000-transactional-t8,A,53,0,3857264804328034063,11208,1277,160,13,0,0,0,8,0,5,33.449001312255859,12.0244,14.206300000000001,0,0.14750000000000002,6.1299999999999999
dem-sierra-b50000-transactional-t8,A,54,0,383925361223897309,11226,1033,160,15,0,0,0,9,0,6,39.939498901367188,15.2714,16.127599999999997,0,0.16420000000000001,7.3477999999999994
dem-sierra-b50000-transactional-t8,A,55,0,3405875904328150473,11238,778,160,8,0,0,0,6,0,2,37.716499328613281,12.977600000000001,16.363599999999998,0,0.12609999999999999,7.3056000000000001
dem-sierra-b50000-transactional-t8,A,56,0,17716055771639362493,11254,595,160,14,0,0,0,8,0,6,40.598701477050781,13.7492,17.7789,0,0.12210000000000001,7.8461999999999996
dem-sierra-b50000-transactional-t8,A,57,0,12624261349647017908,11266,431,160,9,0,0,0,6,0,3,44.04119873046875,16.700199999999999,19.340399999999999,0,0.12239999999999999,6.7647000000000004
dem-sierra-b50000-transactional-t8,A,58,0,13872479846255973079,11268,311,160,2,0,0,0,1,0,1,29.902799606323242,13.580299999999999,15.309100000000001,0,0.015000000000000001,0.65449999999999997
dem-sierra-b50000-transactional-t8,A,59,0,10198128412078601152,11270,233,160,1,0,0,0,1,0,0,27.236299514770508,12.772399999999999,13.419499999999999,0,0.0099000000000000008,0.70140000000000002
dem-sierra-b50000-transactional-t8,A,60,0,12914219246593188636,11272,207,160,1,0,0,0,1,0,0,26.54949951171875,13.483699999999999,11.750500000000001,0,0.023599999999999999,0.80779999999999996
dem-sierra-b50000-transactional-t8,A,61,0,11783708846319784637,11280,195,160,9,0,0,0,4,0,5,28.852199554443359,14.248200000000001,11.020300000000001,0,0.083599999999999994,2.9470000000000001
dem-sierra-b50000-transactional-t8,A,62,0,12391839687085977834,11282,164,160,2,0,0,0,1,0,1,24.516700744628906,13.428000000000001,9.1090999999999998,0,0.019899999999999998,1.2756000000000001
dem-sierra-b50000-transactional-t8,A,63,0,12391839687085977834,11282,151,151,0,0,0,0,0,0,0,18.466499328613281,13.877699999999999,4.2928999999999995,0,9.9999999999999991e-05,0
dem-sierra-b50000-transactional-t8,A,64,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,18.918899536132812,15.4474,3.3083,0,9.9999999999999991e-05,0
dem-sierra-b50000-transactional-t8,A,65,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.5057001113891602,0,3.3141999999999996,0,9.9999999999999991e-05,0
dem-sierra-b50000-transactional-t8,A,66,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.6895999908447266,0,3.5527000000000002,0,9.9999999999999991e-05,0
dem-sierra-b50000-transactional-t8,A,67,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.4976000785827637,0,3.2615000000000003,0,9.9999999999999991e-05,0
dem-sierra-b50000-transactional-t8,A,68,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.9537999629974365,0,3.5503999999999998,0,0.00039999999999999996,0
dem-sierra-b50000-transactional-t8,A,69,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.5297000408172607,0,3.1539999999999999,0,0.00019999999999999998,0
dem-sierra-b50000-transactional-t8,A,70,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.7918999195098877,0,3.6120999999999999,0,0.00039999999999999996,0
dem-sierra-b50000-transactional-t8,A,71,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.4749999046325684,0,3.3018000000000001,0,9.9999999999999991e-05,0
dem-sierra-b50000-transactional-t8,A,72,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.7925999164581299,0,3.5718000000000001,0,0.00029999999999999997,0
dem-sierra-b50000-transactional-t8,A,73,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.5441000461578369,0,3.3075999999999999,0,9.9999999999999991e-05,0
dem-sierra-b50000-transactional-t8,A,74,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.4391000270843506,0,3.1882000000000001,0,9.9999999999999991e-05,0
