frame,thread,records,boundsBuilds,exactBuilds,boundsSides,exactSides,boundsHeights,exactHeights
25,4,12,12,12,10354,438,900,144
25,4,12,12,12,35896,704,3268,168
25,4,12,12,12,15691,465,1268,40
26,4,6,6,6,310,40,62,6
26,4,6,6,6,842,82,166,12
26,4,6,6,6,479,67,106,10
26,4,6,3,3,32,11,10,2
26,4,6,6,6,6946,295,1322,84
26,4,12,12,12,19875,609,1700,156
26,4,12,12,12,19792,603,1700,0
27,4,6,6,6,310,40,62,6
27,4,6,6,6,2522,149,488,18
27,4,6,6,6,742,71,136,10
27,4,6,3,3,90,19,24,0
27,4,6,6,5,500,49,70,2
27,4,6,6,6,470,50,70,2
27,4,4,4,4,332,50,68,2
27,4,18,18,18,8202,309,948,304
27,4,14,10,10,806,60,76,6
27,4,12,12,12,16974,500,1300,24
28,4,12,12,12,18830,559,1700,208
28,4,12,12,12,10354,438,900,96
28,4,6,6,5,214,35,34,4
28,4,12,12,12,15038,445,1268,60
28,4,6,6,6,1583,131,372,50
28,4,12,12,12,40260,914,6404,220
29,4,6,6,5,214,35,34,4
29,4,6,3,3,162,22,48,2
29,4,12,12,12,18830,559,1700,104
29,4,12,12,12,11856,400,868,20
29,4,12,12,12,23752,638,2500,100
29,4,12,12,12,19792,603,1700,140
29,4,12,12,12,35952,696,3268,104
30,4,12,12,12,10354,438,900,60
30,4,6,6,6,432,61,96,14
30,4,12,12,12,35952,696,3268,44
30,4,12,12,12,35952,696,3268,100
31,4,6,6,6,596,65,142,14
31,4,6,3,3,162,22,48,2
31,4,12,12,12,18977,565,1700,140
31,4,6,6,6,2379,157,488,8
31,4,12,12,12,10238,398,868,92
31,4,12,12,12,35896,704,3268,60
3,5,6,6,6,2416,129,422,18
3,5,12,12,12,19875,609,1700,60
4,5,12,12,12,33535,673,3268,64
4,5,6,6,6,1386,97,342,14
5,5,12,12,12,18879,584,1700,144
5,5,6,6,3,67,10,10,4
6,5,6,6,6,596,65,142,14
6,5,6,6,6,775,83,136,10
6,5,6,6,6,396,54,88,10
6,5,6,3,2,64,14,16,0
6,5,6,3,3,88,25,24,4
6,5,12,12,12,4160,236,244,24
7,5,6,6,6,481,71,112,16
8,5,6,6,6,596,65,142,14
8,5,12,12,12,21736,609,2484,156
8,5,6,6,6,481,71,112,16
8,5,12,12,12,15691,465,1268,52
9,5,6,6,6,310,40,62,6
9,5,6,6,6,596,65,142,14
9,5,6,6,6,1039,99,230,26
9,5,12,12,12,15038,445,1268,140
10,5,6,6,4,111,18,28,8
10,5,6,6,6,310,40,62,6
10,5,6,5,4,60,12,14,6
10,5,6,6,3,67,11,10,2
10,5,6,3,2,64,14,16,0
11,5,6,6,6,396,54,88,10
11,5,12,12,12,18830,559,1700,148
11,5,12,12,12,15730,516,1300,92
12,5,6,6,6,596,65,142,14
12,5,6,6,3,67,11,10,2
12,5,12,12,12,10238,398,868,64
12,5,6,6,6,360,50,78,2
12,5,12,12,12,13628,488,1668,0
12,5,12,12,12,13532,504,1668,40
12,5,12,12,12,11880,392,868,44
13,5,6,6,4,111,18,28,8
13,5,6,6,6,458,57,96,10
13,5,6,6,3,67,11,10,2
13,5,6,6,6,365,42,68,12
13,5,6,6,6,396,54,88,10
13,5,6,6,6,335,69,78,14
13,5,6,6,6,688,70,138,16
13,5,12,12,12,13532,504,1668,32
14,5,6,6,6,310,40,62,6
14,5,6,6,4,113,15,16,2
14,5,12,12,12,10484,434,868,36
14,5,12,12,12,10354,438,900,144
15,5,6,6,6,596,65,142,14
15,5,12,12,12,15730,516,1300,48
15,5,12,12,12,7357,348,660,0
15,5,12,12,12,35896,704,3268,132
15,5,12,12,12,5128,288,452,36
16,5,6,6,3,67,10,10,0
16,5,6,6,6,365,42,68,12
16,5,6,6,6,396,54,88,10
16,5,6,6,6,335,69,78,14
16,5,6,6,5,306,42,42,12
16,5,12,12,12,4304,244,244,40
16,5,12,12,12,11880,392,868,28
16,5,6,3,3,57,15,16,2
16,5,12,12,12,13532,504,1668,56
16,5,12,12,12,7405,356,676,20
16,5,12,12,12,11856,400,868,44
16,5,6,3,2,64,14,16,0
17,5,6,6,4,111,18,28,8
17,5,6,5,4,53,12,12,2
17,5,6,3,3,57,15,16,2
17,5,12,12,12,6914,320,468,80
17,5,6,6,6,12979,387,2402,108
17,5,12,12,12,11880,392,868,56
17,5,12,12,12,9424,436,900,112
18,5,6,6,6,360,50,78,2
18,5,6,6,5,306,42,42,12
18,5,12,12,12,11880,392,868,4
18,5,12,12,12,7152,332,468,88
18,5,12,12,12,14270,383,1044,32
18,5,6,6,6,947,91,196,4
19,5,6,6,6,360,50,78,2
19,5,6,6,6,596,65,142,14
19,5,6,6,6,803,69,172,12
19,5,12,12,12,35952,696,3268,108
20,5,6,6,6,360,50,78,2
20,5,6,6,6,803,69,172,12
20,5,6,6,6,947,91,196,4
20,5,6,6,5,201,44,44,20
20,5,12,12,12,35952,696,3268,120
20,5,12,12,12,8163,342,660,0
20,5,6,6,6,1327,87,242,6
20,5,12,12,12,13628,488,1668,88
21,5,6,5,4,60,12,14,6
21,5,6,6,4,111,18,28,8
21,5,4,3,3,72,16,22,8
21,5,20,20,19,2578,199,286,132
21,5,12,12,12,13628,488,1668,88
21,5,6,3,3,63,15,18,2
21,5,12,12,12,10238,398,868,68
21,5,12,12,12,11856,400,868,52
21,5,12,12,12,11880,392,868,40
22,5,6,6,6,310,40,62,6
22,5,12,12,12,9079,351,644,48
22,5,6,3,3,63,15,18,2
22,5,12,12,12,10354,438,900,168
22,5,12,12,12,20032,597,1700,128
22,5,12,12,12,35952,696,3268,156
23,5,6,3,3,57,15,16,2
23,5,6,6,6,1327,87,242,6
23,5,6,5,4,237,26,48,4
23,5,6,3,2,64,14,16,0
23,5,12,12,12,35952,696,3268,240
23,5,12,12,12,13628,488,1668,28
23,5,6,5,5,392,52,94,4
23,5,12,12,12,35952,696,3268,52
24,5,6,6,6,596,65,142,14
24,5,12,12,12,4657,206,348,100
24,5,6,5,5,497,48,108,4
24,5,12,12,12,10238,398,868,92
24,5,6,6,5,278,41,38,16
24,5,12,12,12,15691,465,1268,112
24,5,12,12,12,35952,696,3268,164
25,5,12,12,12,6840,316,468,84
25,5,6,6,6,596,65,142,14
25,5,6,6,6,842,82,166,12
25,5,6,6,3,67,11,10,0
25,5,12,12,12,10354,438,900,144
25,5,12,12,12,35896,704,3268,168
25,5,12,12,12,35896,704,3268,120
26,5,6,6,6,596,65,142,14
26,5,6,6,6,479,67,106,10
26,5,6,6,6,538,53,102,12
26,5,6,6,6,531,73,124,26
26,5,12,12,12,11740,433,1268,124
26,5,6,6,6,742,71,136,10
26,5,6,6,6,742,71,136,10
26,5,12,12,12,10780,414,868,76
26,5,12,12,12,19792,603,1700,0
27,5,6,6,6,1959,178,396,58
27,5,6,6,6,1052,89,210,10
27,5,12,12,12,20450,622,2468,96
27,5,6,6,3,108,15,16,2
27,5,6,6,3,108,15,16,2
27,5,12,12,12,31502,788,3268,120
27,5,12,12,12,20450,622,2468,36
28,5,6,6,6,310,40,62,6
28,5,6,3,3,32,11,10,2
28,5,12,12,12,10354,438,900,124
28,5,12,12,12,18977,565,1700,160
28,5,12,12,12,11558,438,1252,56
28,5,12,12,12,35896,704,3268,20
28,5,12,12,12,35896,704,3268,48
29,5,6,6,6,310,40,62,6
29,5,6,6,3,108,15,16,2
29,5,6,3,3,75,25,24,10
29,5,12,12,12,20538,630,2500,104
