scene,event,metric,P0mean,PSmean,P0median,PSmedian,P0p95,PSp95,delta
dem-canyon,return,reservationMs,0.120703125,0.5993125,0.0843,0.5252,0.28636,0.914885,0.478609375
dem-canyon,return,sampleRepairMs,0.0,0.022171874999999997,0.0,0.0,0.0,0.0,0.022171874999999997
dem-canyon,return,uploadMs,0.0029812499997206032,0.003525000036461279,0.002899999963119626,0.003100000089034438,0.0040149999898858365,0.005485000112093984,0.0005437500367406756
dem-canyon,return,faces,49999.0,50000.0,49999.0,50000.0,49999.0,50000.0,1.0
dem-canyon,return,receivers,21.15625,103.84375,12.5,101.5,62.29999999999999,133.85,82.6875
dem-canyon,return,exchanges,0.0,0.03125,0.0,0.0,0.0,0.0,0.03125
dem-canyon,return,free,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dem-canyon,return,pairs,3385.0,16615.0,2000.0,16240.0,9967.999999999998,21416.0,13230.0
dem-canyon,return,touches,83409.71875,51248.53125,87465.0,50722.5,119235.15,57804.7,-32161.1875
dem-canyon,return,evaluations,1574913.0,1574916.03125,1574913.0,1574913.0,1574913.0,1574913.0,3.03125
dem-canyon,reveal,cpuMs,69.99969692887932,103.71855847588901,68.6863021850586,108.74870300292969,83.49719848632812,118.00941925048828,33.718861547009695
dem-canyon,reveal,receiverMs,38.93366896551724,73.28527931034483,37.9385,76.9383,47.90512,86.9081,34.35161034482759
dem-canyon,reveal,viewMs,14.466179310344828,14.39173448275862,14.599400000000001,14.5686,16.05188,15.889339999999999,-0.0744448275862073
dem-canyon,reveal,donorMs,13.706503448275862,12.545003448275862,12.605500000000001,12.3557,19.377519999999993,15.208979999999999,-1.1615000000000002
dem-canyon,reveal,reservationMs,0.32884137931034485,0.8796586206896552,0.3123,0.8411,0.6770799999999999,1.4184599999999992,0.5508172413793103
dem-canyon,reveal,sampleRepairMs,1.8208448275862068,1.6986862068965518,1.4239000000000002,1.3485,4.558279999999999,3.594839999999998,-0.122158620689655
dem-canyon,reveal,uploadMs,0.07372413663964333,0.0475206917055465,0.007699999958276749,0.007699999958276749,0.5568599909543972,0.011720000207424164,-0.026203444934096834
dem-canyon,reveal,faces,49999.1724137931,49999.96551724138,49999.0,50000.0,50000.0,50000.0,0.7931034482753603
dem-canyon,reveal,receivers,38.93103448275862,106.72413793103448,36.0,107.0,78.6,123.6,67.79310344827586
dem-canyon,reveal,exchanges,2.0689655172413794,1.896551724137931,2.0,2.0,5.0,4.199999999999996,-0.1724137931034484
dem-canyon,reveal,free,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.0,0.0
dem-canyon,reveal,pairs,6173.6551724137935,17036.931034482757,5735.0,17111.0,12522.199999999997,19766.8,10863.275862068964
dem-canyon,reveal,touches,100762.8275862069,55843.793103448275,101304.0,55870.0,127972.59999999999,63930.19999999999,-44919.03448275862
dem-canyon,reveal,evaluations,1575470.2758620689,1575350.7931034483,1575118.0,1575112.0,1577578.2,1576614.8,-119.48275862052105
